key,value
transferred_successfully_redirecting_to_ssi,Erfolgreich übertragen. Weiterleitung zu SSI.
trigger_conditions,Triggerbedingungen
try_now,Versuchen Sie es jetzt
tutorial,Anleitung
type,Typ
unable_to_place_order_you_have,"Bestellung kann nicht aufgegeben werden. Sie haben eine aktive Limit-Order in diese Richtung. Bitte stornieren Sie diese bestehende Limitbestellung, bevor Sie eine reine Reduzierungsbestellung aufgeben."
unable_to_place_order_you_have_2,"Bestellung kann nicht aufgegeben werden. Sie haben einen aktiven Nur-Reduzierungsauftrag in diese Richtung. Bitte stornieren Sie diese bestehende Bestellung, bevor Sie eine neue aufgeben."
unrealized_pnl_roe,Nicht realisierter PnL (ROE%)
use_below_password_to_login,"Verwenden Sie das untenstehende Passwort, um sich anzumelden"
use_metamask_walletconnect_or_another_provider,"Verwenden Sie MetaMask, WalletConnect oder einen anderen Anbieter, um Geld aus Ihrer Krypto-Wallet einzuzahlen"
use_referral_code_to_join_whitelist,"Verwenden Sie den Empfehlungscode, um der Whitelist beizutreten"
used_for_margining_computing_unrealized_pnl,"Wird zum Margining, zur Berechnung nicht realisierter PnL, Liquidationen und zum Auslösen von TP/SL-Aufträgen verwendet"
valid_address_format,Gültiges Adressformat
value1_min,≈ {{value1}} min
value1_point,{{value1}} Punkt
value1_th,{{value1}} th
value1_usdc,{{value1}} USDC
valuechain_network_is_already_added_and,Das ValueChain-Netzwerk ist bereits hinzugefügt und aktiv
verify,Verifizieren
verifying,Verifizieren
view,Sicht
view_2,Sicht
view_docs,Dokumente anzeigen
view_orders,Bestellungen anzeigen
waiting_for_signature,Warten auf Unterschrift...
waiting_for_user_to_deposit,Warten auf die Einzahlung des Benutzers
waiting_transfer,Wartender Transfer
wallet_connection_was_cancelled_please_try,Die Wallet-Verbindung wurde abgebrochen. Bitte versuchen Sie es erneut.
wallet_not_connected_or_not_found,Wallet nicht verbunden oder nicht gefunden
warning_you_are_using_a_limit,"Warnung: Sie verwenden einen Grenzpreis, der {{notBestPriceRate}} aggressiver ist als der beste {{side}} Preis."
we_ll_walk_you_through_setting,"Wir führen Sie Schritt für Schritt durch die Einstellung des Hebels, die Risikoprüfung und die Auftragserteilung."
we_take_snapshots_every_fifteen_minutes,"Wir machen alle fünfzehn Minuten Schnappschüsse. Für neue Benutzer wird das Handelsvolumen vor dem Snapshot-Zeitpunkt nicht in die Rangliste aufgenommen, was einer etwa 15-minütigen Abklingzeit nach dem ersten Handel entspricht."
we_will_return_the_tokens_to,Wir senden die Token an die von Ihnen angegebene Adresse zurück.
welcome_to_sodex,Willkommen bei SoDEX
welcome_to_the_futures_trading_tutorial,Willkommen beim Futures-Trading-Tutorial
what_are_lucky_block_rewards,Was sind Lucky Block Rewards?
withdraw_failed,Die Auszahlung ist fehlgeschlagen
withdrawal_failed,Auszahlung fehlgeschlagen
withdrawing_in_progress,Auszahlung läuft
x_twitter,X (Twitter)
xlm_address,XLM-Adresse
xrp_address,XRP-Adresse
you_are_about_to_place_a,"Sie sind im Begriff, eine große Marktorder aufzugeben, die aufgrund der begrenzten Liquidität bei den aktuellen Preisen zu erheblichen Abweichungen führen kann, und diese Order wird möglicherweise automatisch storniert."
you_are_using_the_code_referralcode,Sie verwenden den Code: {{referralCode}}
you_can_restart_the_trading_demo,Sie können die Handelsdemo jederzeit von hier aus neu starten.
you_have_claimed_your_test_tokens,Sie haben Ihre Testtoken erfolgreich beansprucht!
you_have_claimed_your_test_tokens_2,Sie haben Ihre Testtoken erfolgreich beansprucht!
you_have_joined_the_whitelist_successfully,Sie haben sich erfolgreich der Whitelist angeschlossen
you_have_one_chance_to_customize,"Während der Betaversion haben Sie einmal die Möglichkeit, Ihren Code anzupassen."
you_pay_no_gas_the_order,Sie zahlen kein Benzin. Die Bestellung wird innerhalb weniger Sekunden bestätigt.
you_re_invited_to_join_the,"Sie sind eingeladen, dem SoDEX Mainnet beizutreten."
you_re_invited_to_sodex_mainnet,🎉 Du bist zum SoDEX Mainnet eingeladen!
you_receive,Sie erhalten
you_will_receive_10_of_referred_2,Sie erhalten 10 % der Gebühren geworbener Nutzer und 25 % ihrer Punkte. Sie erhalten zusätzlich 5 % ihrer Punkte.
your_balance_is_not_enough,Ihr Guthaben reicht nicht aus
your_position_value_exceeds_the_maximum,"Ihr Positionswert übersteigt den bei der aktuellen Hebelwirkung maximal zulässigen Wert. Bitte reduzieren Sie den Hebel, um den Handel fortzusetzen."
your_usdc_balance_is_below_0,"Ihr USDC-Guthaben liegt unter 0. Der verfügbare Betrag von {{value1}} beträgt {{value2}}. Wenn Sie alle {{value3}} abheben möchten, setzen Sie USDC bitte auf 0 oder höher zurück."
